Provider,Model,Source Type,Context Window (Tokens),Input Cost per 1M Tokens (USD),Output Cost per 1M Tokens (USD),Min Tokens,Max Tokens,Rate Limit (Requests/sec),Billing Notes,Documentation URL,Last Updated
OpenAI,gpt-5.2,Batch,400000,0.875,7.00,,128000,500 RPM,Cached input: $0.0875,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.1,Batch,400000,0.625,5.00,,128000,500 RPM,Cached input: $0.0625,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5,Batch,400000,0.625,5.00,,128000,500 RPM,Cached input: $0.0625,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-mini,Batch,400000,0.125,1.00,,128000,500 RPM,Cached input: $0.0125,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-nano,Batch,400000,0.025,0.20,,128000,500 RPM,Cached input: $0.0025,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.2-pro,Batch,400000,10.50,84.00,,128000,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-pro,Batch,400000,7.50,60.00,,272000,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-4.1,Batch,1047576,1.00,4.00,,32768,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-4.1-mini,Batch,1047576,0.20,0.80,,32768,3 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-4.1-nano,Batch,,0.05,0.20,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-4o,Batch,128000,1.25,5.00,,16384,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-4o-2024-05-13,Batch,,2.50,7.50,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-4o-mini,Batch,128000,0.075,0.30,,16384,3 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o1,Batch,200000,7.50,30.00,,100000,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o1-pro,Batch,,75.00,300.00,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,o3-pro,Batch,,10.00,40.00,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,o3,Batch,200000,1.00,4.00,,100000,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o3-deep-research,Batch,,5.00,20.00,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,o4-mini,Batch,200000,0.55,2.20,,100000,"1,000 RPM",,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o4-mini-deep-research,Batch,,1.00,4.00,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,o3-mini,Batch,200000,0.55,2.20,,100000,"1,000 RPM",,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o1-mini,Batch,128000,0.55,2.20,,65536,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,computer-use-preview,Batch,,1.50,6.00,,,,,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5.2,Flex,400000,0.875,7.00,,128000,500 RPM,Cached input: $0.0875,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.1,Flex,400000,0.625,5.00,,128000,500 RPM,Cached input: $0.0625,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5,Flex,400000,0.625,5.00,,128000,500 RPM,Cached input: $0.0625,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-mini,Flex,400000,0.125,1.00,,128000,500 RPM,Cached input: $0.0125,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-nano,Flex,400000,0.025,0.20,,128000,500 RPM,Cached input: $0.0025,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o3,Flex,200000,1.00,4.00,,100000,500 RPM,Cached input: $0.25,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,o4-mini,Flex,200000,0.55,2.20,,100000,"1,000 RPM",Cached input: $0.138,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.2,Standard,400000,1.75,14.00,,128000,500 RPM,Cached input: $0.175,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.1,Standard,400000,1.25,10.00,,128000,500 RPM,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5,Standard,400000,1.25,10.00,,128000,500 RPM,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-mini,Standard,400000,0.25,2.00,,128000,500 RPM,Cached input: $0.025,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5-nano,Standard,400000,0.05,0.40,,128000,500 RPM,Cached input: $0.005,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.2-chat-latest,Standard,400000,1.75,14.00,,128000,500 RPM,Cached input: $0.175,https://platform.openai.com/docs/pricing,2026-01-08
OpenAI,gpt-5.1-chat-latest,Standard,,1.25,10.00,,,,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5-chat-latest,Standard,,1.25,10.00,,,,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5.1-codex-max,Standard,,1.25,10.00,,,,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5.1-codex,Standard,,1.25,10.00,,,,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5-codex,Standard,,1.25,10.00,,,,Cached input: $0.125,https://platform.openai.com/docs/pricing,2026-01-07
OpenAI,gpt-5.2-pro,Standard,400000,21.00,168.00,,128000,500 RPM,,https://platform.openai.com/docs/pricing,2026-01-08
